iso3c,country,short_country,status,wesp_region,wesp_subregion,country_code,region,sub_region,intermediate_region,LDC,LLDC
TTO,Trinidad and Tobago,Trinidad_Tob,DVG,Latin America and the Caribbean,Caribbean,780,Americas,Latin America and the Caribbean,Caribbean,0,0
TUN,Tunisia,Tunisia,DVG,Africa,North Africa,788,Africa,Northern Africa,NA,0,0
TUR,Türkiye,Turkey,DVG,Asia,Western Asia,792,Asia,Western Asia,NA,0,0
TKM,Turkmenistan,Turkmenistan,EIT,Commonwealth of Independent States and Georgia,NA,795,Asia,Central Asia,NA,0,1
UGA,Uganda,Uganda,DVG,Africa,East Africa,800,Africa,Sub-Saharan Africa,Eastern Africa,1,1
UKR,Ukraine,Ukraine,EIT,Commonwealth of Independent States and Georgia,NA,804,Europe,Eastern Europe,NA,0,0
ARE,United Arab Emirates,UAE,DVG,Asia,Western Asia,784,Asia,Western Asia,NA,0,0
GBR,United Kingdom of Great Britain and Northern Ireland,UK,DVD,Europe,Other Europe,826,Europe,Northern Europe,NA,0,0
TZA,United Republic of Tanzania,Tanzania,DVG,Africa,East Africa,834,Africa,Sub-Saharan Africa,Eastern Africa,1,0
USA,United States of America,USA,DVD,North America,NA,840,Americas,Northern America,NA,0,0
URY,Uruguay,Uruguay,DVG,Latin America and the Caribbean,South America,858,Americas,Latin America and the Caribbean,South America,0,0
UZB,Uzbekistan,Uzbekistan,EIT,Commonwealth of Independent States and Georgia,NA,860,Asia,Central Asia,NA,0,1
VUT,Vanuatu,Vanuatu,DVG,Asia,East Asia,548,Oceania,Melanesia,NA,1,0
VEN,Venezuela (Bolivarian Republic of),Venezuela,DVG,Latin America and the Caribbean,South America,862,Americas,Latin America and the Caribbean,South America,0,0
VNM,Viet Nam,Viet_Nam,DVG,Asia,East Asia,704,Asia,South-eastern Asia,NA,0,0
YEM,Yemen,Yemen,DVG,Asia,Western Asia,887,Asia,Western Asia,NA,1,0
ZMB,Zambia,Zambia,DVG,Africa,Southern Africa,894,Africa,Sub-Saharan Africa,Eastern Africa,1,1
ZWE,Zimbabwe,Zimbabwe,DVG,Africa,Southern Africa,716,Africa,Sub-Saharan Africa,Eastern Africa,0,1
